route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
SIM33C,CA_B4-Weekday,CA_B4-Weekday-055000_MISC_271,MIDTOWN via CHURCH via MADISON AV,0,35381096,SIM330121
SIM33C,CA_B4-Weekday,CA_B4-Weekday-057000_MISC_233,MIDTOWN via CHURCH via MADISON AV,0,35381098,SIM330121
SIM33C,CA_B4-Weekday,CA_B4-Weekday-059000_SIM33_181,MIDTOWN via CHURCH via MADISON AV,0,35381099,SIM330121
SIM33C,CA_B4-Weekday,CA_B4-Weekday-061500_SIM33_182,MIDTOWN via CHURCH via MADISON AV,0,35381100,SIM330121
SIM33C,CA_B4-Weekday,CA_B4-Weekday-064500_SIM33_183,MIDTOWN via CHURCH via MADISON AV,0,35381101,SIM330121
SIM33C,CA_B4-Weekday,CA_B4-Weekday-067500_MISC_273,MIDTOWN via CHURCH via MADISON AV,0,35381102,SIM330121
SIM33C,CA_B4-Weekday,CA_B4-Weekday-070500_MISC_262,MIDTOWN via CHURCH via MADISON AV,0,35381103,SIM330121
SIM33C,CA_B4-Weekday,CA_B4-Weekday-073500_SIM33_184,MIDTOWN via CHURCH via MADISON AV,0,35381104,SIM330121
SIM33C,CA_B4-Weekday,CA_B4-Weekday-076500_SIM33_185,MIDTOWN via CHURCH via MADISON AV,0,35381105,SIM330121
SIM33C,CA_B4-Weekday,CA_B4-Weekday-079500_SIM22_158,MIDTOWN via CHURCH via MADISON AV,0,35381106,SIM330121
SIM33C,CA_B4-Weekday,CA_B4-Weekday-085500_MISC_305,MIDTOWN via CHURCH via MADISON AV,0,35381107,SIM330121
SIM33C,CA_B4-Weekday,CA_B4-Weekday-088500_SIM3_175,MIDTOWN via CHURCH via MADISON AV,0,35381108,SIM330121
SIM33C,CA_B4-Weekday,CA_B4-Weekday-091500_MISC_284,MIDTOWN via CHURCH via MADISON AV,0,35381109,SIM330121
SIM33C,CA_B4-Weekday,CA_B4-Weekday-097500_MISC_367,MIDTOWN via CHURCH via MADISON AV,0,35381110,SIM330121
SIM33C,CA_B4-Weekday,CA_B4-Weekday-103500_SIM33_182,MIDTOWN via CHURCH via MADISON AV,0,35381111,SIM330121
SIM33C,CA_B4-Weekday,CA_B4-Weekday-106500_MISC_329,MIDTOWN via CHURCH via MADISON AV,0,35381088,SIM330121
SIM33C,CA_B4-Weekday,CA_B4-Weekday-109500_SIM33_181,MIDTOWN via CHURCH via MADISON AV,0,35381087,SIM330121
SIM33C,CA_B4-Weekday,CA_B4-Weekday-115500_SIM33_184,MIDTOWN via CHURCH via MADISON AV,0,35381086,SIM330121
SIM33C,CA_B4-Weekday,CA_B4-Weekday-121500_MISC_366,MIDTOWN via CHURCH via MADISON AV,0,35381095,SIM330121
SIM33C,CA_B4-Weekday,CA_B4-Weekday-126000_MISC_354,MIDTOWN via CHURCH via MADISON AV,0,35381093,SIM330121
SIM33C,CA_B4-Weekday,CA_B4-Weekday-132000_MISC_376,MIDTOWN via CHURCH via MADISON AV,0,35381090,SIM330121
SIM33C,CA_B4-Weekday,CA_B4-Weekday-043000_SIM3_170,MARINERS HARBOR via N GANNON AV,1,35380831,SIM330116
SIM33C,CA_B4-Weekday,CA_B4-Weekday-046000_SIM3_171,MARINERS HARBOR via N GANNON AV,1,35380834,SIM330116
SIM33C,CA_B4-Weekday,CA_B4-Weekday-050500_SIM3_173,MARINERS HARBOR via N GANNON AV,1,35380836,SIM330116
SIM33C,CA_B4-Weekday,CA_B4-Weekday-053000_SIM3_174,MARINERS HARBOR via N GANNON AV,1,35380837,SIM330116
SIM33C,CA_B4-Weekday,CA_B4-Weekday-056000_SIM3_177,MARINERS HARBOR via N GANNON AV,1,35380840,SIM330116
SIM33C,CA_B4-Weekday,CA_B4-Weekday-059000_MISC_307,MARINERS HARBOR via N GANNON AV,1,35380841,SIM330116
SIM33C,CA_B4-Weekday,CA_B4-Weekday-062000_MISC_223,MARINERS HARBOR via N GANNON AV,1,35381097,SIM330116
SIM33C,CA_B4-Weekday,CA_B4-Weekday-068000_MISC_228,MARINERS HARBOR via N GANNON AV,1,35381128,SIM330116
SIM33C,CA_B4-Weekday,CA_B4-Weekday-065000_SIM33_180,MARINERS HARBOR via N GANNON AV,1,35381123,SIM330116
SIM33C,CA_B4-Weekday,CA_B4-Weekday-071000_MISC_271,MARINERS HARBOR via N GANNON AV,1,35381096,SIM330116
SIM33C,CA_B4-Weekday,CA_B4-Weekday-074000_MISC_276,MARINERS HARBOR via N GANNON AV,1,35381144,SIM330116
SIM33C,CA_B4-Weekday,CA_B4-Weekday-077000_SIM33_182,MARINERS HARBOR via N GANNON AV,1,35381100,SIM330116
SIM33C,CA_B4-Weekday,CA_B4-Weekday-080000_SIM33_183,MARINERS HARBOR via N GANNON AV,1,35381101,SIM330116
SIM33C,CA_B4-Weekday,CA_B4-Weekday-083000_MISC_273,MARINERS HARBOR via N GANNON AV,1,35381102,SIM330116
SIM33C,CA_B4-Weekday,CA_B4-Weekday-086000_MISC_262,MARINERS HARBOR via N GANNON AV,1,35381103,SIM330116
SIM33C,CA_B4-Weekday,CA_B4-Weekday-088000_SIM33_184,MARINERS HARBOR via N GANNON AV,1,35381104,SIM330116
SIM33C,CA_B4-Weekday,CA_B4-Weekday-113000_SIM33_180,MARINERS HARBOR via N GANNON AV,1,35381255,SIM330116
SIM33C,CA_B4-Weekday,CA_B4-Weekday-115000_MISC_315,MARINERS HARBOR via N GANNON AV,1,35381089,SIM330116
SIM33C,CA_B4-Weekday,CA_B4-Weekday-117000_SIM33_182,MARINERS HARBOR via N GANNON AV,1,35381111,SIM330116
SIM33C,CA_B4-Weekday,CA_B4-Weekday-119000_MISC_329,MARINERS HARBOR via N GANNON AV,1,35381088,SIM330116
SIM33C,CA_B4-Weekday,CA_B4-Weekday-125000_SIM33_183,MARINERS HARBOR via N GANNON AV,1,35381253,SIM330116
SIM33C,CA_B4-Weekday,CA_B4-Weekday-121000_SIM33_185,MARINERS HARBOR via N GANNON AV,1,35381092,SIM330116
SIM33C,CA_B4-Weekday,CA_B4-Weekday-123000_SIM33_181,MARINERS HARBOR via N GANNON AV,1,35381087,SIM330116
SIM33C,CA_B4-Weekday,CA_B4-Weekday-129000_MISC_368,MARINERS HARBOR via N GANNON AV,1,35381254,SIM330116
SIM33C,CA_B4-Weekday,CA_B4-Weekday-127000_MISC_382,MARINERS HARBOR via N GANNON AV,1,35381094,SIM330116
SIM33C,CA_B4-Weekday,CA_B4-Weekday-131000_SIM33_184,MARINERS HARBOR via N GANNON AV,1,35381086,SIM330116
SIM33C,CA_B4-Weekday,CA_B4-Weekday-134000_MISC_366,MARINERS HARBOR via N GANNON AV,1,35381095,SIM330116
SIM33C,CA_B4-Weekday,CA_B4-Weekday-140000_MISC_354,MARINERS HARBOR via N GANNON AV,1,35381093,SIM330116
SIM33C,CA_B4-Weekday,CA_B4-Weekday-137000_SIM33_185,MARINERS HARBOR via N GANNON AV,1,35381092,SIM330116
SIM33C,CA_B4-Weekday,CA_B4-Weekday-146000_MISC_376,MARINERS HARBOR via N GANNON AV,1,35381090,SIM330116
SIM33C,CA_B4-Weekday,CA_B4-Weekday-143000_MISC_382,MARINERS HARBOR via N GANNON AV,1,35381094,SIM330116
SIM33C,CA_B4-Weekday,CA_B4-Weekday-152000_MISC_383,MARINERS HARBOR via N GANNON AV,1,35381091,SIM330116
SIM33C,CA_B4-Weekday,CA_B4-Weekday-100500_MISC_315,MIDTOWN via CHURCH via MADISON AV,0,35381089,SIM330121
SIM32,CA_B4-Weekday,CA_B4-Weekday-036500_MISC_257,DOWNTOWN WORTH ST via CHURCH ST,0,35381073,SIM320074
SIM32,CA_B4-Weekday,CA_B4-Weekday-040500_MISC_220,DOWNTOWN WORTH ST via CHURCH ST,0,35380844,SIM320074
S40,CA_B4-Weekday,CA_B4-Weekday-006000_S4090_1,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381021,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-012000_S4090_3,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381022,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-018000_S4090_2,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381023,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-024000_MISC_209,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381234,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-030000_MISC_206,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381233,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-033000_S4090_5,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381033,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-036000_S4090_4,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381148,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-039000_S4090_7,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381032,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-040500_S4090_8,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381236,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-042000_MISC_261,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381025,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-043500_S4090_5,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381033,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-048000_S4090_11,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381024,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-050000_S4090_10,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381265,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-054000_MISC_298,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381223,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-055500_S4090_4,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381250,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-057000_S4090_7,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381248,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-060000_S4090_6,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381245,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-062000_S4090_16,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381231,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-064000_S4090_8,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381237,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-066000_S4090_4,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381250,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-068000_S4090_7,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381248,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-070000_S4090_6,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381245,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-072000_MISC_300,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381240,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-074000_S4090_8,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381237,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-076000_S4090_9,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381246,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-078000_S4090_17,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381249,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-080000_S4090_11,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381252,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-082000_MISC_300,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381240,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-084000_S4090_10,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381228,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-087000_S4090_9,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381246,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-088500_S4090_17,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381249,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-090000_S4090_12,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381151,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-099300_MISC_358,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381242,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-093300_S4090_13,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381243,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-094500_S4090_10,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381228,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-096400_S4090_19,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381027,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-097800_S4090_20,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381028,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-101300_S4090_17,ARLINGTON SOUTH AV ARLINGTON PL,1,35381030,S400032
S40,CA_B4-Weekday,CA_B4-Weekday-105300_S4090_18,ARLINGTON SOUTH AV ARLINGTON PL,1,35381239,S400032
S40,CA_B4-Weekday,CA_B4-Weekday-109800_MISC_358,ARLINGTON SOUTH AV ARLINGTON PL,1,35381242,S400032
S40,CA_B4-Weekday,CA_B4-Weekday-111000_S4090_18,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381239,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-112800_MISC_313,ARLINGTON SOUTH AV ARLINGTON PL,1,35381285,S400032
S90,CA_B4-Weekday,CA_B4-Weekday-101000_S4090_14,LTD MATRIX PK via RICH TERR via GULF AV,1,35380998,S900026
S90,CA_B4-Weekday,CA_B4-Weekday-103000_MISC_295,LTD MATRIX PK via RICH TERR via GULF AV,1,35381213,S900026
S90,CA_B4-Weekday,CA_B4-Weekday-105000_MISC_354,LTD MATRIX PK via RICH TERR via GULF AV,1,35381247,S900026
S90,CA_B4-Weekday,CA_B4-Weekday-108000_S4090_17,LTD MATRIX PK via RICH TERR via GULF AV,1,35381030,S900026
S90,CA_B4-Weekday,CA_B4-Weekday-109500_S4090_20,LTD MATRIX PK via RICH TERR via GULF AV,1,35381028,S900026
S90,CA_B4-Weekday,CA_B4-Weekday-112500_S4090_15,LTD MATRIX PK via RICH TERR via GULF AV,1,35381037,S900026
S40,CA_B4-Weekday,CA_B4-Weekday-115800_S4090_21,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381029,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-117000_MISC_344,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381241,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-119000_MISC_313,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381285,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-121000_S4090_20,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381251,S400038
S90,CA_B4-Weekday,CA_B4-Weekday-126000_S4090_18,LTD MATRIX PK via RICH TERR via GULF AV,1,35381056,S900026
S40,CA_B4-Weekday,CA_B4-Weekday-129000_S4090_20,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381251,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-135000_S4090_18,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381056,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-138300_S4090_21,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381034,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-141000_MISC_367,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381031,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-144000_S4090_18,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381056,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-147000_S4090_21,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381034,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-002000_S4090_1,ST GEORGE FERRY via RICHMOND TERR,0,35381021,S400039
S90,CA_B4-Weekday,CA_B4-Weekday-038500_S4090_13,LIMITED ST GEORGE FERRY via RCHMOND TERR,0,35381230,S900028
S90,CA_B4-Weekday,CA_B4-Weekday-044500_S4090_10,LIMITED ST GEORGE FERRY via RCHMOND TERR,0,35381265,S900028
S90,CA_B4-Weekday,CA_B4-Weekday-046500_S4090_16,LIMITED ST GEORGE FERRY via RCHMOND TERR,0,35381231,S900028
S40,CA_B4-Weekday,CA_B4-Weekday-052000_S4090_12,ST GEORGE FERRY via RICHMOND TERR,0,35381232,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-054000_S4090_11,ST GEORGE FERRY via RICHMOND TERR,0,35381024,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-055000_S4090_10,ST GEORGE FERRY via RICHMOND TERR,0,35381265,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-059000_S4090_8,ST GEORGE FERRY via RICHMOND TERR,0,35381237,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-063000_S4090_7,ST GEORGE FERRY via RICHMOND TERR,0,35381248,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-065000_S4090_6,ST GEORGE FERRY via RICHMOND TERR,0,35381245,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-067000_MISC_300,ST GEORGE FERRY via RICHMOND TERR,0,35381240,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-069000_S4090_8,ST GEORGE FERRY via RICHMOND TERR,0,35381237,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-073000_S4090_7,ST GEORGE FERRY via RICHMOND TERR,0,35381248,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-075000_S4090_6,ST GEORGE FERRY via RICHMOND TERR,0,35381245,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-077000_MISC_300,ST GEORGE FERRY via RICHMOND TERR,0,35381240,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-079000_S4090_5,ST GEORGE FERRY via RICHMOND TERR,0,35381238,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-081000_S4090_9,ST GEORGE FERRY via RICHMOND TERR,0,35381246,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-083000_S4090_17,ST GEORGE FERRY via RICHMOND TERR,0,35381249,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-085000_S4090_11,ST GEORGE FERRY via RICHMOND TERR,0,35381252,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-087000_S4090_13,ST GEORGE FERRY via RICHMOND TERR,0,35381243,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-089000_S4090_10,ST GEORGE FERRY via RICHMOND TERR,0,35381228,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-091000_S4090_5,ST GEORGE FERRY via RICHMOND TERR,0,35381238,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-093000_MISC_354,ST GEORGE FERRY via RICHMOND TERR,0,35381247,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-094500_MISC_358,ST GEORGE FERRY via RICHMOND TERR,0,35381242,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-097500_MISC_295,ST GEORGE FERRY via RICHMOND TERR,0,35381213,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-099000_S4090_13,ST GEORGE FERRY via RICHMOND TERR,0,35381243,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-100500_S4090_18,ST GEORGE FERRY via RICHMOND TERR,0,35381239,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-102000_S4090_19,ST GEORGE FERRY via RICHMOND TERR,0,35381027,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-103500_S4090_20,ST GEORGE FERRY via RICHMOND TERR,0,35381028,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-105000_MISC_358,ST GEORGE FERRY via RICHMOND TERR,0,35381242,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-106500_S4090_14,ST GEORGE FERRY via RICHMOND TERR,0,35380998,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-108000_S4090_15,ST GEORGE FERRY via RICHMOND TERR,0,35381037,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-110000_MISC_310,ST GEORGE FERRY via RICHMOND TERR,0,35381244,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-112500_MISC_344,ST GEORGE FERRY via RICHMOND TERR,0,35381241,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-115500_S4090_18,ST GEORGE FERRY via RICHMOND TERR,0,35381239,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-117000_S4090_15,ST GEORGE FERRY via RICHMOND TERR,0,35381037,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-120000_S4090_21,ST GEORGE FERRY via RICHMOND TERR,0,35381029,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-121500_MISC_344,ST GEORGE FERRY via RICHMOND TERR,0,35381241,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-123500_MISC_313,ST GEORGE FERRY via RICHMOND TERR,0,35381285,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-125500_S4090_20,ST GEORGE FERRY via RICHMOND TERR,0,35381251,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-127500_S4090_19,ST GEORGE FERRY via RICHMOND TERR,0,35381036,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-130500_S4090_18,ST GEORGE FERRY via RICHMOND TERR,0,35381056,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-133500_S4090_20,ST GEORGE FERRY via RICHMOND TERR,0,35381251,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-136500_MISC_367,ST GEORGE FERRY via RICHMOND TERR,0,35381031,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-140000_S4090_18,ST GEORGE FERRY via RICHMOND TERR,0,35381056,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-143500_S4090_21,ST GEORGE FERRY via RICHMOND TERR,0,35381034,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-008000_S4090_3,ST GEORGE FERRY via RICHMOND TERR,0,35381022,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-014000_S4090_2,ST GEORGE FERRY via RICHMOND TERR,0,35381023,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-020000_S4090_1,ST GEORGE FERRY via RICHMOND TERR,0,35381021,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-026000_MISC_206,ST GEORGE FERRY via RICHMOND TERR,0,35381233,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-029000_MISC_209,ST GEORGE FERRY via RICHMOND TERR,0,35381234,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-031800_MISC_207,ST GEORGE FERRY via RICHMOND TERR,0,35381117,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-036400_S4090_11,ST GEORGE FERRY via RICHMOND TERR,0,35381024,S400034
S40,CA_B4-Weekday,CA_B4-Weekday-036500_S4090_3,ST GEORGE FERRY via RICHMOND TERR,0,35381026,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-042500_S4090_6,ST GEORGE FERRY via RICHMOND TERR,0,35381235,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-044100_S4090_9,ST GEORGE FERRY via RICHMOND TERR,0,35381227,S400034
S40,CA_B4-Weekday,CA_B4-Weekday-046500_S4090_14,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381220,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-111000_S4090_21,ST GEORGE FERRY via RICHMOND TERR,0,35381029,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-114000_S4090_17,ST GEORGE FERRY via RICHMOND TERR,0,35381030,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-045000_MISC_236,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381266,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-052000_S4090_16,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381231,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-057000_S4090_16,ST GEORGE FERRY via RICHMOND TERR,0,35381231,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-032800_S4090_7,ST GEORGE FERRY via RICHMOND TERR,0,35381032,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-096000_S4090_12,ST GEORGE FERRY via RICHMOND TERR,0,35381151,S400039
S90,CA_B4-Weekday,CA_B4-Weekday-035000_S4090_8,LIMITED ST GEORGE FERRY via RCHMOND TERR,0,35381236,S900028
S90,CA_B4-Weekday,CA_B4-Weekday-036000_S4090_9,LIMITED ST GEORGE FERRY via RCHMOND TERR,0,35381227,S900028
S40,CA_B4-Weekday,CA_B4-Weekday-041000_S4090_14,ST GEORGE FERRY via RICHMOND TERR,0,35381220,S400034
S90,CA_B4-Weekday,CA_B4-Weekday-043500_S4090_7,LIMITED ST GEORGE FERRY via RCHMOND TERR,0,35381032,S900028
S40,CA_B4-Weekday,CA_B4-Weekday-045900_S4090_3,ST GEORGE FERRY via RICHMOND TERR,0,35381026,S400034
S40,CA_B4-Weekday,CA_B4-Weekday-051000_S4090_4,ST GEORGE FERRY via RICHMOND TERR,0,35381250,S400034
S90,CA_B4-Weekday,CA_B4-Weekday-099000_S4090_21,LTD MATRIX PK via RICH TERR via GULF AV,1,35381029,S900026
S40,CA_B4-Weekday,CA_B4-Weekday-085500_S4090_5,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381238,S400038
S90,CA_B4-Weekday,CA_B4-Weekday-096000_S4090_18,LTD MATRIX PK via RICH TERR via GULF AV,1,35381239,S900026
S40,CA_B4-Weekday,CA_B4-Weekday-114300_MISC_310,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381244,S400038
S40,CA_B4-Weekday,CA_B4-Weekday-061000_S4090_4,ST GEORGE FERRY via RICHMOND TERR,0,35381250,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-046200_S4090_13,ST GEORGE FERRY via RICHMOND TERR,0,35381230,S400034
S40,CA_B4-Weekday,CA_B4-Weekday-030000_S4090_4,ST GEORGE FERRY via RICHMOND TERR,0,35381148,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-036800_MISC_261,ST GEORGE FERRY via RICHMOND TERR,0,35381025,S400034
S40,CA_B4-Weekday,CA_B4-Weekday-091500_S4090_11,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,35381252,S400038
S90,CA_B4-Weekday,CA_B4-Weekday-093000_MISC_295,LTD MATRIX PK via RICH TERR via GULF AV,1,35381213,S900026
S40,CA_B4-Weekday,CA_B4-Weekday-047100_S4090_2,ST GEORGE FERRY via RICHMOND TERR,0,35381035,S400034
S90,CA_B4-Weekday,CA_B4-Weekday-049500_MISC_298,LIMITED ST GEORGE FERRY via RCHMOND TERR,0,35381223,S900028
S40,CA_B4-Weekday,CA_B4-Weekday-049100_S4090_1,ST GEORGE FERRY via RICHMOND TERR,0,35381229,S400034
S40,CA_B4-Weekday,CA_B4-Weekday-041900_S4090_11,ST GEORGE FERRY via RICHMOND TERR,0,35381024,S400034
S90,CA_B4-Weekday,CA_B4-Weekday-123000_S4090_19,LTD MATRIX PK via RICH TERR via GULF AV,1,35381036,S900026
S90,CA_B4-Weekday,CA_B4-Weekday-132000_MISC_367,LTD MATRIX PK via RICH TERR via GULF AV,1,35381031,S900026
S40,CA_B4-Weekday,CA_B4-Weekday-118500_MISC_310,ST GEORGE FERRY via RICHMOND TERR,0,35381244,S400039
S40,CA_B4-Weekday,CA_B4-Weekday-123300_MISC_310,ARLINGTON SOUTH AV ARLINGTON PL,1,35381244,S400032
